Numaranız;Doğum Yılınız;Boyunuz cm olarak;Kilonuz;Ayakkabı Numaranız;Göz Renginiz;Saç Renginiz;Doğum Yeri İlçe;Doğum Yeri İl;Mezun Olduğunuz Lisenin Adı;Mezun Olduğunuz Lisenin Bulunduğu İl;Üniversite Giriş Sınavında Yerleşme Puanız;Üniversite Giriş Sınavında Yerleşme Sıralamanız;Ailenizin İkamet Ettiği İl;Babanızın Eğitim Durumu;Babanızın Mesleği;Annenizin Eğitim Durumu;Annenizin Mesleği;Kardeş Sayısı (Tek Çocuk iseniz 0 Yazınız);Şu anki Not Ortalamanız;İkamet Ettiğiniz İl;İkamet Ettiğiniz İlçe;İkamet Ettiğiniz Mahalle;İkamet Ettiğiniz Yer;Aylık Ortalama Harcamanız TL.;Aylık Ortalama Geliriniz TL.;Her zaman Kulanabileceğiniz Bir Bilgisayara Sahip misiniz;Python İle ilgili Bilgi Düzeyiniz;Çalışma Durumunuz;Cep Telefonunuz ;Kredi Kartınız
1;1994;160;74;38;Siyah;Kestane ;Oğuzeli ;Gaziantep ;Hacı muzaffer bakbak kml;Gaziantep ;288;313.85;Sakarya ;Lise;Serbest Meslek;İlköğretim ;Ev hanımı;4;3.47;Sakarya;Arifiye ;Hanlıköy ;Diğer;12.000;4000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
2;2003;160;49;37;Kahverengi;Kahverengi;Geyve;Sakarya;Cemil Meriç Sosyal Bilimler Lisesi;Sakarya;327,13;253.408;Sakarya;Lise ;Emekli;Ortaokul ;Ev hanımı;3;3.26;Sakarya;Geyve;Kemalpaşa mahallesi ;Devlet Yurdu;8.000;8.000;Evet;Lisede görmüştüm;Çalışmıyorum;Var;Yok
3;2005;165;67;37;Kahverengi;Kahverengi;Kadıköy;İstanbul;Sınav koleji;Bilecik;339;300.000;Bilecik;Lise;Üretim sorumlusu;Lise;Ev hanımı;3;2.12;Bişecik;Bozüyük;;Devlet Yurdu;10.000;9.000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
4;2002;162;50;37;gri;kumral;Adapazarı;Sakarya;Cumhuriyet Anadolu Lisesi ;Sakarya;308,75584;354.086;Sakarya ;Lise;Emekli ;Eğitim almadı ;Ev Hanımı;1;2.96;Sakarya;Arifiye;Arifbey Mahallesi ;Aile Yanı;15.000;15.000;Evet;Hiç Yok;Çalışıyorum;Var;Var
5;2004;170;85;41;Ela;Siyah;Hendek;Sakarya;Tes-iş Adapazarı Anadolu lisesi;Sakarya;288;480000;Sakarya;Lise;Memur;Ortaokul;Ev hanımı;1;3.24;Sakarya;Adapazarı;Karaman ;Aile Yanı;Bilmiyorum ;14000;Evet;Diğer;Çalışıyorum;Var;Var
6;2004;170;75;40;kahverengi;kahverengi;inegöl;bursa;turgut alp anadolu lisesi;bursa;hatırlamıyorum;1;bursa;ortaokul;emekli;ortaokul;ev hanımı;1;2.03;sakarya;serdivan;kemalpaşa;Devlet Yurdu;10000;5000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
7;2005;168;65;38;Kahverengi ;Kahverengi ;Sultanbeyli ;İstanbul ;Şehit Ömer Halisdemir Anadolu lisesi;Sancaktepe/istanbul ;456.000;;İstanbul ;Ortaokul ;İnşaatçı ;Ortaokul;Temizlik personeli ;3;2.64;İstanbul ;Sancaktepe ;Osmangazi mah.;Aile Yanı;10.000;10000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
8;2004;159;54;37;Kahverengi;Siyah;Çatalca;İstanbul;Büyükçekmece Anadolu Lisesi;İstanbul;310;250.000;Büyükçekmece;Ortaokul Mezunu;Emekli;İlkokul mezunu;Ev hanımı;1;2.70;İstanbul;Büyükçekmece ;Ahmediye;Devlet Yurdu;6000;4000;Evet;Lisede görmüştüm;Çalışmıyorum;Var;Yok
9;2003;168;58;39;Ela;Siyah;Antakya;Hatay;Güngören Anadolu Lisesi ;İstanbul ;;;İstanbul ;İlkokul mezunu ;Tekstil çalışanı ;İlkokul mezunu ;Aşçı ;2;2.67;Sakarya;Serdivan ;;Devlet Yurdu;7.000 TL;7.000 TL;Evet;Hiç Yok;Çalışmıyorum;Var;Var
10;2005;172;64;39;Kahve;Kahve;Osmangazi;Bursa;;Bursa;;520bin;Bursa;İlkokul;Emekli;İlkokul;Çalışmıyor;2;2.38;Bursa;Osmangazi;Çiftehavuzlar;Özel Yurt;20bin;20bin;Evet;Hiç Yok;Çalışıyorum;Var;Var
11;2005;167;54;36;Kahverengi;Kahverengi;Ankara yenimahalle;;Bahçeşehir koleji ;Bolu merkez ;;300bin ;Bolu;Lise ;Makina baş teknisyeni ;Önlisans;Sekreter;3;2,38;Bolu;Merkez;Beşkavaklar mahallesi ;Aile Yanı;;;Evet;Hiç Yok;Çalışmıyorum;Var;Var
12;2003;167;57;37;Kahverengi;Kahverengi;Merkez;Karaman;Karaman lisesi;Karaman;390;400.000;Karaman;Ortaokul;Yurt dışı fabrika şefi;İlkokul;Ev hanımı;3;2.28;Karaman;Merkez;Elmaşehir mahallesi;Özel Yurt;15.000;0;Evet;Hiç Yok;Çalışmıyorum;Var;Var
13;2005;161;56;37;Kahverengi ;Kahverengi;Altınordu;Ordu;Başöğretmen Anadolu lisesi ;Ordu;283;420.000;Ordu;Ortaokul;Makine konkosörü;İlkokul;Ev hanımı;2;2,64;Otduu;Altınordu;Şahincili;Aile Yanı;10.000;10.000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
14;2004;155;50;38;Ela;Kahverengi ;Adapazarı ;Sakarya ;Sapanca imam hatip lisesi ;Sapanca;320;;Sakarya ;Lise;Emekli;İlkokul;Ev hanımı;3;1.93;Sakarya;Sapanca ;Rüstempaşa ;Aile Yanı;12bin;12bin;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
15;2005;170;55;38;kahverengi;kahverengi;Osmangazi;Bursa;Barış Anadolu Lisesi;Bursa;280;1;Bursa;Üniversite;Teknik Öğretmen;Lise;Muhasebe;0;2;Bursa;Nilüfer ;Ataevler;Diğer;10.000;;Evet;Hiç Yok;Çalışmıyorum;Var;Var
16;2005;172;52;39;kahverengi;sarı;kadıköy;istanbul;mustafa kemal anadolu lisesi;ataşehir;287;509.000;istanbul;ortaokul;klima kombi teknisyeni;lise;hemşire yardımcısı ;1;2.02;istanbul;ataşehir;içerenköy;Devlet Yurdu;10.000;;Evet;Hiç Yok;Çalışmıyorum;Var;Var
17;2005;160;54;37;kehribar;koyu kahve ;kartal;istanbul;Hasan Ferruh Özgen Anadolu Lisesi;İstanbul;350;300K;İstanbul ;İlkokul;Serbest meslek;ortaokul;ofis personeli;3;2.30;İstanbul ;Kartal;Soğanlık Yeni Mahalle;Devlet Yurdu;10000;10000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
18;2001;160;68;38;Kahverengi ;Siyah;Çaldıran ;Van ;Namık Kemal Anadolu lisesi ;Kocaeli;30.488.783;379.067;Kocaeli ;İlköğretim terk ;Çiftçi ;Yok ;Ev hanımı ;Sekiz ;3.11;Kocaeli;Kartepe ;Uzunçiftlik Mh ;Aile Yanı;4000;8000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
19;2002;180;70;42;Kavherengi;Siyah;İzmit;Kocaeli ;Selim yürekten mesleki ve teknik Anadolu lisesi ;Kocaeli ;;;Kocaeli ;Lise ;İşçi ;Lise;Ev hanımı ;2;2,94;Kocaeli ;İzmit ;Serdar Mahallesi ;Devlet Yurdu;6000;6000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
20;2004;168;53;39;Kahverengi;kahverengi;adapazarı;sakarya;Ali dilmen anadolu lisesi;sakarya;473;;sakarya;ilkokul mezunu;depo görevlisi;ilkoul mezunu;ev hanımı;2;1.60;sakarya;adapazarı;erenler;Aile Yanı;7000;7000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
21;2005;169;57;39;Koyu Kahve;Koyu Kahve;Adapazarı;Sakarya;Şehit Muhammet Fatih Safitürk Anadolu Lisesi;Sakarya;299,02495;419.433;Sakarya;Lise;İşçi;Lise;Ev hanımı;1;2,69;Sakarya;Arifiye;Arifbey;Aile Yanı;7000;0;Evet;Hiç Yok;Çalışmıyorum;Var;Var
22;2003;163;56;38;Kahverengi ;Siyah;Tatvan;Bitlis;Tatvan Anadolu Lisesi;Bitlis;353.73;164.960;Bitlis;Lise mezunu;Serbest meslek;İlkokul mezunu;Ev hanımı ;2;2.64;Bitlis;Tatvan;Karataş Mahallesi;Devlet Yurdu;9.000;9.000;Evet;Hiç Yok;Çalışmıyorum;Var;Var
